animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,Class_Type,diet,conservation_status,habitat_type,ecosystem_type,predator_score
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,Mammal,insectivore,least concern,savanna,0,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,herbivore,near threatened,grasslands,0,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,carnivore,least,freshwater,1,3
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,Mammal,omnivore,vulnerable,forest,0,2
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,omnivore,least concern,forest,0,2
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,herbivore,endangered,grasslands,0,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal,herbivore,endangered,domestic,0,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,Fish,omnivore,least concern,freshwater,1,2
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,carnivore,least concern,freshwater,1,3
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,Mammal,carnivore,least concern,freshwater,1,3
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,carnivore,least concern,freshwater,1,3
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird,carnivore,least concern,freshwater,1,3
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,carnivore,least concern,freshwater,1,3
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,Invertebrate,filter_feeder,least concern,marine,2,1
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,Invertebrate,omnivore,least concern,marine/coastal,3,2
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,Invertebrate,omnivore,least concern,marine/coastal,3,2
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird,omnivore,least concern,marine/coastal,0,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,Herbivore,vulnerable,forest,0,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish,Herbivore,vulnerable,forest,3,1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal,Herbivore,vulnerable,forest,3,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird,Herbivore,vulnerable,forest,0,1
